date,close
1999-12-31,19.9403
2000-01-31,18.7116
2000-02-29,20.6805
2000-03-31,22.4125
2000-04-30,20.3548
2000-05-31,18.2379
2000-06-30,20.0550
2000-07-31,18.9892
2000-08-31,20.9210
2000-09-30,17.1647
2000-10-31,16.1802
2000-11-30,12.8605
2000-12-31,11.5874
2001-01-31,13.8043
2001-02-28,10.3662
2001-03-31,9.1782
2001-04-30,10.6622
2001-05-31,10.2255
2001-06-30,10.4254
2001-07-31,9.7037
2001-08-31,8.5194
2001-09-30,7.1242
2001-10-31,7.9014
2001-11-30,9.0819
2001-12-31,8.8821
2002-01-31,8.7859
2002-02-28,7.6460
2002-03-31,8.0198
2002-04-30,7.0502
2002-05-31,6.7578
2002-06-30,5.8548
2002-07-31,5.2997
2002-08-31,5.2552
2002-09-30,4.3781
2002-10-31,5.4625
2002-11-30,6.3285
2002-12-31,5.4918
2003-01-31,5.3620
2003-02-28,5.3879
2003-03-31,5.3063
2003-04-30,5.7924
2003-05-31,6.2896
2003-06-30,6.3342
2003-07-31,6.5308
2003-08-31,6.8425
2003-09-30,6.7832
2003-10-31,7.2804
2003-11-30,7.3843
2003-12-31,7.6160
2004-01-31,7.9412
2004-02-29,7.7394
2004-03-31,7.5338
2004-04-30,7.2461
2004-05-31,7.5301
2004-06-30,7.7356
2004-07-31,7.2648
2004-08-31,6.9434
2004-09-30,7.1452
2004-10-31,7.4591
2004-11-30,7.8403
2004-12-31,8.0460
2005-01-31,7.5925
2005-02-28,7.6039
2005-03-31,7.4553
2005-04-30,7.1923
2005-05-31,7.6916
2005-06-30,7.5925
2005-07-31,8.0232
2005-08-31,7.9469
2005-09-30,7.9660
2005-10-31,7.7830
2005-11-30,8.2747
2005-12-31,8.0207
2006-01-31,8.2893
2006-02-28,8.3085
2006-03-31,8.4966
2006-04-30,8.3853
2006-05-31,7.8403
2006-06-30,7.8019
2006-07-31,7.5986
2006-08-31,8.1320
2006-09-30,8.4953
2006-10-31,8.8390
2006-11-30,9.0823
2006-12-31,9.0411
2007-01-31,9.2158
2007-02-28,8.9518
2007-03-31,9.0566
2007-04-30,9.4838
2007-05-31,9.9615
2007-06-30,9.9489
2007-07-31,9.9295
2007-08-31,10.1199
2007-09-30,10.5019
2007-10-31,11.0588
2007-11-30,10.2255
2007-12-31,10.4283
2008-01-31,9.0945
2008-02-29,8.6642
2008-03-31,8.7641
2008-04-30,9.3119
2008-05-31,9.9184
2008-06-30,8.9896
2008-07-31,8.7698
2008-08-31,8.9464
2008-09-30,7.8110
2008-10-31,6.4960
2008-11-30,6.0039
2008-12-31,6.0989
2009-01-31,5.8100
2009-02-28,5.5883
2009-03-31,6.2137
2009-04-30,6.8621
2009-05-31,7.0213
2009-06-30,7.2763
2009-07-31,7.8716
2009-08-31,7.9995
2009-09-30,8.3698
2009-10-31,8.2655
2009-11-30,8.7227
2009-12-31,9.2286
2010-01-31,8.4354
2010-02-28,8.7296
2010-03-31,9.3269
2010-04-30,9.4436
2010-05-31,8.7374
2010-06-30,8.2658
2010-07-31,8.8817
2010-08-31,8.3833
2010-09-30,9.3609
2010-10-31,9.9017
2010-11-30,9.7390
2010-12-31,10.2800
2011-01-31,10.6065
2011-02-28,10.8391
2011-03-31,10.6718
2011-04-30,10.9492
2011-05-31,10.8346
2011-06-30,10.5657
2011-07-31,10.6109
2011-08-31,10.0477
2011-09-30,9.7386
2011-10-31,10.7331
2011-11-30,10.5722
2011-12-31,10.5480
2012-01-31,11.2028
2012-02-29,11.9965
2012-03-31,12.5404
2012-04-30,12.3990
2012-05-31,11.6132
2012-06-30,11.9894
2012-07-31,12.2127
2012-08-31,12.7261
2012-09-30,12.9190
2012-10-31,12.0999
2012-11-30,12.2086
2012-12-31,12.1613
2013-01-31,12.3931
2013-02-28,12.4901
2013-03-31,12.8124
2013-04-30,13.0367
2013-05-31,13.4008
2013-06-30,13.0114
2013-07-31,13.4985
2013-08-31,13.3581
2013-09-30,13.6969
2013-10-31,14.3852
2013-11-30,14.8298
2013-12-31,15.3535
2014-01-31,14.9583
2014-02-28,15.6156
2014-03-31,15.6832
2014-04-30,15.7264
2014-05-31,16.3175
2014-06-30,16.6226
2014-07-31,16.9043
2014-08-31,17.4591
2014-09-30,17.3689
2014-10-31,17.6475
2014-11-30,18.4964
2014-12-31,18.0939
2015-01-31,17.4594
2015-02-28,18.8552
2015-03-31,18.2072
2015-04-30,18.7080
2015-05-31,19.0551
2015-06-30,18.2721
2015-07-31,18.7929
2015-08-31,17.7557
2015-09-30,17.5178
2015-10-31,19.3533
2015-11-30,19.4908
2015-12-31,19.0870
2016-01-31,18.3784
2016-02-29,18.2581
2016-03-31,19.8687
2016-04-30,18.8699
2016-05-31,19.7926
2016-06-30,19.5206
2016-07-31,20.9069
2016-08-31,21.1500
2016-09-30,21.5946
2016-10-31,21.4319
2016-11-30,21.4681
2016-12-31,21.9540
2017-01-31,22.7349
2017-02-28,23.7654
2017-03-31,24.2943
2017-04-30,24.7819
2017-05-31,25.7617
2017-06-30,25.0377
2017-07-31,26.1541
2017-08-31,26.9183
2017-09-30,27.1381
2017-10-31,28.9060
2017-11-30,29.3147
2017-12-31,29.4736
2018-01-31,31.5476
2018-02-28,31.4185
2018-03-31,30.2454
2018-04-30,30.2639
2018-05-31,32.3166
2018-06-30,32.2321
2018-07-31,32.9049
2018-08-31,35.0763
2018-09-30,35.0702
2018-10-31,32.2629
2018-11-30,31.6297
2018-12-31,28.9843
2019-01-31,30.9951
2019-02-28,33.1369
2019-03-31,34.7159
2019-04-30,36.9256
2019-05-31,33.7261
2019-06-30,36.7413
2019-07-31,38.0266
2019-08-31,37.4428
2019-09-30,38.0330
2019-10-31,39.5160
2019-11-30,41.6365
2019-12-31,43.4347
2020-01-31,45.1689
2020-02-29,41.8711
2020-03-31,38.2815
2020-04-30,43.5400
2020-05-31,46.6647
2020-06-30,49.9046
2020-07-31,52.7416
2020-08-31,59.0077
2020-09-30,55.8584
2020-10-31,53.0631
2020-11-30,59.1036
2020-12-31,62.3786
2021-01-31,61.8557
2021-02-28,62.7000
2021-03-31,63.8491
2021-04-30,67.1615
2021-05-31,66.5365
2021-06-30,71.1168
2021-07-31,73.8814
2021-08-31,76.5111
2021-09-30,72.0451
2021-10-31,77.9363
2021-11-30,81.4054
2021-12-31,84.0506
2022-01-31,78.2980
2022-02-28,74.4791
2022-03-31,76.9705
2022-04-30,68.4903
2022-05-31,68.0205
2022-06-30,61.7208
2022-07-31,70.0234
2022-08-31,65.6731
2022-09-30,57.8126
2022-10-31,62.2369
2022-11-30,66.1744
2022-12-31,60.7439
2023-01-31,66.3672
2023-02-28,66.6406
2023-03-31,73.8757
2023-04-30,73.7876
2023-05-31,80.3675
2023-06-30,85.2333
2023-07-31,87.4345
2023-08-31,86.1158
2023-09-30,80.5362
2023-10-31,80.5755
2023-11-30,90.9662
2023-12-31,94.7704
2024-01-31,97.3307
2024-02-29,101.9097
2024-03-31,102.7134
2024-04-30,96.7953
2024-05-31,103.6455
2024-06-30,111.7715
2024-07-31,108.1006
2024-08-31,108.8565
2024-09-30,111.7394
2024-10-31,109.9972
2024-11-30,115.6842
2024-12-31,115.2718
2025-01-31,114.4241
2025-02-28,111.8065
2025-03-31,102.5388
2025-04-30,104.2720
2025-05-31,114.6709
2025-06-30,125.9609
2025-07-31,130.6913
2025-08-31,130.5471
2025-09-30,140.3795
2025-10-31,149.7527
2025-11-30,142.5509
2025-12-31,143.6238
2026-01-31,143.5340
2026-02-28,138.4263
2026-03-31,132.7425
2026-04-30,159.3110
2026-05-31,190.7937
2026-06-30,190.5200
2026-07-31,175.3500
2026-08-31,186.5000
2026-09-30,187.6700
