date,close
1997-01-31,2.7700
1997-02-28,1.7800
1997-03-31,1.8400
1997-04-30,2.1600
1997-05-31,2.2300
1997-06-30,2.1700
1997-07-31,2.2300
1997-08-31,2.6900
1997-09-30,2.9600
1997-10-31,3.2200
1997-11-30,2.5000
1997-12-31,2.2700
1998-01-31,2.0900
1998-02-28,2.2300
1998-03-31,2.3400
1998-04-30,2.1800
1998-05-31,2.1000
1998-06-30,2.3900
1998-07-31,1.8500
1998-08-31,1.6100
1998-09-30,2.2200
1998-10-31,2.0000
1998-11-30,1.6300
1998-12-31,1.9500
1999-01-31,1.8300
1999-02-28,1.6300
1999-03-31,2.0200
1999-04-30,2.2500
1999-05-31,2.2900
1999-06-30,2.3400
1999-07-31,2.5500
1999-08-31,2.8400
1999-09-30,2.3100
1999-10-31,2.7600
1999-11-30,2.2200
1999-12-31,2.3000
2000-01-31,2.6900
2000-02-29,2.6500
2000-03-31,2.8800
2000-04-30,3.0900
2000-05-31,4.5200
2000-06-30,4.3600
2000-07-31,3.7500
2000-08-31,4.7600
2000-09-30,5.1000
2000-10-31,4.3700
2000-11-30,6.3100
2000-12-31,10.4800
2001-01-31,5.8300
2001-02-28,5.2500
2001-03-31,5.3500
2001-04-30,4.7300
2001-05-31,3.7300
2001-06-30,2.9100
2001-07-31,3.3100
2001-08-31,2.1500
2001-09-30,1.8000
2001-10-31,3.0700
2001-11-30,1.8300
2001-12-31,2.4000
2002-01-31,2.2800
2002-02-28,2.4900
2002-03-31,3.1800
2002-04-30,3.6500
2002-05-31,3.1500
2002-06-30,3.2000
2002-07-31,3.0200
2002-08-31,3.1200
2002-09-30,4.0900
2002-10-31,4.3900
2002-11-30,4.1900
2002-12-31,4.5900
2003-01-31,5.5800
2003-02-28,10.8100
2003-03-31,5.0100
2003-04-30,5.2500
2003-05-31,5.9900
2003-06-30,5.3100
2003-07-31,4.6300
2003-08-31,4.8600
2003-09-30,4.6600
2003-10-31,3.9800
2003-11-30,4.8600
2003-12-31,5.7600
2004-01-31,5.8000
2004-02-29,5.2700
2004-03-31,5.6300
2004-04-30,5.8100
2004-05-31,6.4500
2004-06-30,6.0300
2004-07-31,6.0300
2004-08-31,5.0400
2004-09-30,6.3600
2004-10-31,6.4300
2004-11-30,6.7900
2004-12-31,6.0200
2005-01-31,6.1400
2005-02-28,6.6200
2005-03-31,7.4600
2005-04-30,6.6400
2005-05-31,6.3100
2005-06-30,7.0100
2005-07-31,7.7600
2005-08-31,12.6900
2005-09-30,14.8400
2005-10-31,12.1800
2005-11-30,11.7300
2005-12-31,9.5200
2006-01-31,8.7300
2006-02-28,6.6900
2006-03-31,6.9800
2006-04-30,6.6400
2006-05-31,5.9700
2006-06-30,5.8400
2006-07-31,8.0400
2006-08-31,5.8000
2006-09-30,3.6600
2006-10-31,6.6400
2006-11-30,8.3200
2006-12-31,5.5000
2007-01-31,7.7600
2007-02-28,7.2300
2007-03-31,7.5000
2007-04-30,7.7100
2007-05-31,7.8000
2007-06-30,6.4000
2007-07-31,6.5300
2007-08-31,5.4900
2007-09-30,6.1500
2007-10-31,7.2800
2007-11-30,7.2900
2007-12-31,7.1100
2008-01-31,8.1000
2008-02-29,9.1000
2008-03-31,9.8600
2008-04-30,10.8100
2008-05-31,11.4300
2008-06-30,13.1900
2008-07-31,9.2600
2008-08-31,8.2400
2008-09-30,7.1700
2008-10-31,6.1800
2008-11-30,6.4300
2008-12-31,5.6300
2009-01-31,4.7700
2009-02-28,4.0400
2009-03-31,3.5800
2009-04-30,3.2500
2009-05-31,3.9200
2009-06-30,3.7200
2009-07-31,3.3400
2009-08-31,2.4200
2009-09-30,3.2500
2009-10-31,4.1100
2009-11-30,4.4100
2009-12-31,5.8200
2010-01-31,5.2600
2010-02-28,4.7600
2010-03-31,3.9300
2010-04-30,3.9400
2010-05-31,4.3100
2010-06-30,4.5300
2010-07-31,4.8100
2010-08-31,3.8000
2010-09-30,3.8500
2010-10-31,3.3600
2010-11-30,4.1600
2010-12-31,4.2200
2011-01-31,4.4200
2011-02-28,3.9300
2011-03-31,4.3200
2011-04-30,4.5100
2011-05-31,4.6300
2011-06-30,4.2800
2011-07-31,4.2600
2011-08-31,3.9700
2011-09-30,3.6800
2011-10-31,3.6600
2011-11-30,3.5300
2011-12-31,2.9800
2012-01-31,2.5100
2012-02-29,2.4400
2012-03-31,2.0000
2012-04-30,2.1000
2012-05-31,2.3400
2012-06-30,2.7400
2012-07-31,3.2000
2012-08-31,2.7200
2012-09-30,3.0800
2012-10-31,3.5000
2012-11-30,3.4600
2012-12-31,3.4300
2013-01-31,3.3300
2013-02-28,3.4800
2013-03-31,4.0300
2013-04-30,4.3000
2013-05-31,4.0200
2013-06-30,3.5700
2013-07-31,3.4600
2013-08-31,3.5700
2013-09-30,3.4800
2013-10-31,3.5700
2013-11-30,3.8700
2013-12-31,4.3100
2014-01-31,5.0400
2014-02-28,4.8000
2014-03-31,4.4800
2014-04-30,4.7900
2014-05-31,4.4900
2014-06-30,4.3900
2014-07-31,3.7800
2014-08-31,4.0400
2014-09-30,4.1400
2014-10-31,3.8200
2014-11-30,4.3000
2014-12-31,3.1400
2015-01-31,2.8800
2015-02-28,2.7900
2015-03-31,2.6500
2015-04-30,2.5600
2015-05-31,2.7800
2015-06-30,2.8000
2015-07-31,2.7600
2015-08-31,2.7000
2015-09-30,2.4700
2015-10-31,1.9800
2015-11-30,2.1100
2015-12-31,2.2800
2016-01-31,2.2800
2016-02-29,1.6200
2016-03-31,1.9800
2016-04-30,1.8900
2016-05-31,2.1200
2016-06-30,2.9400
2016-07-31,2.9700
2016-08-31,2.9500
2016-09-30,2.8400
2016-10-31,2.8500
2016-11-30,3.3200
2016-12-31,3.7100
2017-01-31,3.0000
2017-02-28,2.5400
2017-03-31,3.1300
2017-04-30,3.2000
2017-05-31,3.0500
2017-06-30,2.9800
2017-07-31,2.8700
2017-08-31,2.9200
2017-09-30,2.9400
2017-10-31,2.8400
2017-11-30,3.0600
2017-12-31,3.6900
2018-01-31,3.3400
2018-02-28,2.6600
2018-03-31,2.8100
2018-04-30,2.7500
2018-05-31,2.9400
2018-06-30,2.9600
2018-07-31,2.8200
2018-08-31,2.9800
2018-09-30,3.0100
2018-10-31,3.3100
2018-11-30,4.6100
2018-12-31,3.2500
2019-01-31,2.8200
2019-02-28,2.8900
2019-03-31,2.7300
2019-04-30,2.5900
2019-05-31,2.5900
2019-06-30,2.4200
2019-07-31,2.2800
2019-08-31,2.3300
2019-09-30,2.3700
2019-10-31,2.7300
2019-11-30,2.4600
2019-12-31,2.0900
2020-01-31,1.9100
2020-02-29,1.7900
2020-03-31,1.7100
2020-04-30,1.6300
2020-05-31,1.7000
2020-06-30,1.7600
2020-07-31,1.8300
2020-08-31,2.3000
2020-09-30,1.6600
2020-10-31,3.0300
2020-11-30,2.8900
2020-12-31,2.3900
2021-01-31,2.6800
2021-02-28,2.6600
2021-03-31,2.5200
2021-04-30,2.8600
2021-05-31,2.9100
2021-06-30,3.7900
2021-07-31,3.9400
2021-08-31,4.3300
2021-09-30,5.5800
2021-10-31,5.4900
2021-11-30,4.5200
2021-12-31,3.8200
2022-01-31,5.5600
2022-02-28,4.4600
2022-03-31,5.4600
2022-04-30,6.8400
2022-05-31,8.4600
2022-06-30,6.5400
2022-07-31,8.3300
2022-08-31,8.9300
2022-09-30,6.4000
2022-10-31,5.0200
2022-11-30,7.0000
2022-12-31,3.5200
2023-01-31,2.6500
2023-02-28,2.5000
2023-03-31,2.1000
2023-04-30,2.2700
2023-05-31,2.1000
2023-06-30,2.4800
2023-07-31,2.5800
2023-08-31,2.5600
2023-09-30,2.6800
2023-10-31,3.3400
2023-11-30,2.7500
2023-12-31,2.5800
2024-01-31,2.1900
2024-02-29,1.6700
2024-03-31,1.5400
2024-04-30,1.6800
2024-05-31,1.7800
2024-06-30,2.4200
2024-07-31,1.9400
2024-08-31,1.9300
2024-09-30,2.6500
2024-10-31,1.8200
2024-11-30,3.3900
2024-12-31,3.4000
2025-01-31,2.9300
2025-02-28,3.9100
2025-03-31,4.1100
2025-04-30,3.1200
2025-05-31,2.8600
2025-06-30,3.2600
2025-07-31,2.9900
2025-08-31,2.8800
2025-09-30,3.1200
2025-10-31,3.5700
2025-11-30,4.5900
2025-12-31,4.0000
2026-01-31,7.1800
2026-02-28,2.9900
2026-03-31,2.8800
2026-04-30,2.6400
2026-05-31,3.3400
2026-06-30,3.3400
2026-07-31,2.5900
2026-08-31,2.9000
2026-09-30,2.8100
