date,close
2011-06-30,1499.6000
2011-07-31,1626.1400
2011-08-31,1823.3000
2011-09-30,1623.2500
2011-10-31,1713.2500
2011-11-30,1745.1000
2011-12-31,1563.8000
2012-01-31,1739.0300
2012-02-29,1694.7000
2012-03-31,1668.2900
2012-04-30,1663.8800
2012-05-31,1558.7000
2012-06-30,1598.2000
2012-07-31,1613.2900
2012-08-31,1690.5400
2012-09-30,1770.6900
2012-10-31,1720.0500
2012-11-30,1714.4000
2012-12-31,1674.3400
2013-01-31,1662.9900
2013-02-28,1579.7600
2013-03-31,1596.8957
2013-04-30,1452.6217
2013-05-31,1393.2152
2013-06-30,1343.5214
2013-07-31,1325.0009
2013-08-31,1397.6687
2013-09-30,1328.6661
2013-10-31,1322.9734
2013-11-30,1252.5268
2013-12-31,1203.0814
2014-01-31,1244.4868
2014-02-28,1326.1267
2014-03-31,1284.7170
2014-04-30,1290.8337
2014-05-31,1250.4384
2014-06-30,1326.6109
2014-07-31,1283.2048
2014-08-31,1287.0794
2014-09-30,1209.0593
2014-10-31,1173.8803
2014-11-30,1167.0070
2014-12-31,1183.3873
2015-01-31,1283.4144
2015-02-28,1213.1759
2015-03-31,1183.3586
2015-04-30,1184.4124
2015-05-31,1190.2529
2015-06-30,1175.9648
2015-07-31,1096.1272
2015-08-31,1134.9637
2015-09-30,1113.9236
2015-10-31,1139.9663
2015-11-30,1064.0819
2015-12-31,1061.5384
2016-01-31,1119.9285
2016-02-29,1236.9037
2016-03-31,1232.6802
2016-04-30,1290.2227
2016-05-31,1216.1725
2016-06-30,1320.0997
2016-07-31,1342.6320
2016-08-31,1315.7935
2016-09-30,1318.8762
2016-10-31,1297.5309
2016-11-30,1173.1109
2016-12-31,1151.9664
2017-01-31,1211.5298
2017-02-28,1246.6401
2017-03-31,1248.7212
2017-04-30,1267.7317
2017-05-31,1268.6397
2017-06-30,1241.6797
2017-07-31,1268.0641
2017-08-31,1321.2724
2017-09-30,1279.4870
2017-10-31,1270.6274
2017-11-30,1274.9748
2017-12-31,1302.4317
2018-01-31,1345.2973
2018-02-28,1317.5513
2018-03-31,1323.1031
2018-04-30,1315.3134
2018-05-31,1299.3124
2018-06-30,1252.7442
2018-07-31,1223.8567
2018-08-31,1200.8816
2018-09-30,1191.9025
2018-10-31,1215.6241
2018-11-30,1222.2344
2018-12-31,1281.9980
2019-01-31,1320.8850
2019-02-28,1313.6853
2019-03-31,1292.0043
2019-04-30,1283.4331
2019-05-31,1305.4110
2019-06-30,1409.7659
2019-07-31,1412.7029
2019-08-31,1520.8126
2019-09-30,1472.8207
2019-10-31,1512.7535
2019-11-30,1464.0454
2019-12-31,1518.2326
2020-01-31,1588.5221
2020-02-29,1585.3234
2020-03-31,1576.5767
2020-04-30,1685.8230
2020-05-31,1729.6912
2020-06-30,1783.3900
2020-07-31,1974.2608
2020-08-31,1968.6865
2020-09-30,1886.6736
2020-10-31,1878.8451
2020-11-30,1778.3888
2020-12-31,1896.2252
2021-01-31,1846.2045
2021-02-28,1733.7924
2021-03-31,1706.9988
2021-04-30,1769.1369
2021-05-31,1907.6326
2021-06-30,1768.2791
2021-07-31,1814.0314
2021-08-31,1814.2874
2021-09-30,1754.7226
2021-10-31,1782.9520
2021-11-30,1784.6078
2021-12-31,1829.0898
2022-01-31,1797.6601
2022-02-28,1907.2351
2022-03-31,1936.1901
2022-04-30,1896.9602
2022-05-31,1837.7650
2022-06-30,1805.7999
2022-07-31,1766.2699
2022-08-31,1708.9200
2022-09-30,1660.9500
2022-10-31,1632.4300
2022-11-30,1753.7801
2022-12-31,1824.0699
2023-01-31,1923.6351
2023-02-28,1825.6401
2023-03-31,1968.6818
2023-04-30,1983.7133
2023-05-31,1957.1134
2023-06-30,1905.4907
2023-07-31,1956.6784
2023-08-31,1946.8131
2023-09-30,1865.2019
2023-10-31,1996.3566
2023-11-30,2043.5718
2023-12-31,2069.1502
2024-01-31,2034.0761
2024-02-29,2036.1991
2024-03-31,2233.1443
2024-04-30,2331.9188
2024-05-31,2346.8157
2024-06-30,2320.7144
2024-07-31,2408.8689
2024-08-31,2518.6906
2024-09-30,2664.9156
2024-10-31,2785.5595
2024-11-30,2637.9085
2024-12-31,2605.3900
2025-01-31,2797.2951
2025-02-28,2875.5249
2025-03-31,3085.1381
2025-04-30,3321.5650
2025-05-31,3317.9216
2025-06-30,3267.5553
2025-07-31,3284.6461
2025-08-31,3417.3722
2025-09-30,3836.5109
2025-10-31,4030.3095
2025-11-30,4178.3329
2025-12-31,4354.1472
2026-01-31,5335.0775
2026-02-28,5177.3072
2026-03-31,4518.4956
2026-04-30,4560.7080
2026-05-31,4497.3169
2026-06-30,4012.1762
2026-07-31,4101.4031
2026-08-31,4460.1640
2026-09-30,4318.8914
