date,XS long/short,XS long-only,XS L/S vol-tgt 10%,TS absolute (L/S),TS absolute (long/flat),Equal-weight sectors,SPY buy & hold
2002-01-31,0.033929810764672386,0.011725241170490619,0.01264939215344444,0.017466337699082696,0.005478205223787872,-0.006509927251506953,-0.009799799608499415
2002-02-28,0.059997558804686435,0.012211285299436714,0.03242637274567451,0.008551163601459483,0.0009022746343532173,-0.006746614332753049,-0.01793525387138173
2002-03-31,-0.030304803895750965,0.03838577905593343,-0.018554075285064794,-0.04413401715992785,0.002116406864636692,0.04836683088920123,0.03324222988670322
2002-04-30,0.04488138116726487,-0.03356669397789225,0.02762246043578562,0.017849522513896796,-0.01220257977176342,-0.04225468205742364,-0.05815574316154437
2002-05-31,0.021399618121814623,-0.00813583293942055,0.01454893713613484,0.00861869438137943,-0.001059789305698962,-0.010738272992777355,-0.005932907514150654
2002-06-30,0.007870989065496603,-0.0772428041012625,0.005436949766487121,0.05461139946713815,-0.009277235086947628,-0.0731658696410334,-0.07375290035827309
2002-07-31,0.03562817705271304,-0.08104720712867103,0.025753122465896946,0.020247954394093565,-0.03216573562024371,-0.084579425634581,-0.07882026529304587
2002-08-31,0.01560058078888693,0.018929699649531173,0.011278994663924251,-0.013192820835505142,-0.0005,0.01219282083550514,0.006801008841821776
2002-09-30,0.043570672449681214,-0.07556182315640253,0.03239090742036876,0.09609608349370052,0.0,-0.09609608349370052,-0.10485135135135137
2002-10-31,-0.08139738648145922,0.06289963676232291,-0.06437467188651165,-0.045775807157088295,0.020633212254107632,0.08704223166530355,0.08228287616430907
2002-11-30,-0.06232111623141101,0.038595638383955744,-0.04330529209255684,-0.037788137109802715,0.004983630624678863,0.04775539835916044,0.06168095241416349
2002-12-31,0.002301357970850294,-0.061430989403305825,0.0014371550536710536,0.038543643208271514,-0.006269592476489024,-0.05108282816124955,-0.05663581362044834
2003-01-31,0.01980680173071614,-0.009060791952083425,0.012981522144558666,0.020911821675303404,-0.0005650846147158642,-0.02204199090473513,-0.024595158263436945
2003-02-28,0.0013701686836032918,0.002545099881411995,0.0009115011385474219,0.00867335401564671,-0.00016666666666666666,-0.009006687348980044,-0.013478638000763876
2003-03-31,0.007895531187088967,0.012062640140284853,0.0056496434317056254,-0.005960217869317404,0.0,0.005960217869317404,0.0020588267220511547
2003-04-30,-0.05040626935721465,0.011204186014986017,-0.03760711250262784,-0.06472691341673584,0.0,0.06472691341673584,0.08461219036614431
2003-05-31,-0.004078218079126006,0.06342348842570333,-0.003018393726054547,-0.060992356643150114,0.0,0.060992356643150114,0.054836910835712294
2003-06-30,0.023833055212891585,0.023184147457933735,0.01782960601427435,-0.011109719465079916,0.0,0.011109719465079916,0.010661398038151138
2003-07-31,0.02542782163824414,0.007017729995818679,0.018573899400657914,-0.0021981318540091697,0.002339243331939559,0.006876618517888289,0.0180281179931423
2003-08-31,0.04482813197716101,0.04841750785610388,0.03342695203824241,0.015164547252218715,0.018479812640858347,0.02179507802949798,0.02062608322213544
