date,adj_close
2026-09-11,65.1400
2026-08-31,63.9600
2026-07-31,59.5500
2026-06-30,53.1100
2026-05-29,55.8921
2026-04-30,59.2283
2026-03-31,60.8269
2026-02-27,55.1683
2026-01-30,50.3638
2025-12-31,44.1090
2025-11-28,44.2438
2025-10-31,43.1090
2025-09-30,43.7008
2025-08-29,43.8400
2025-07-31,42.2977
2025-06-30,41.1337
2025-05-30,39.2154
2025-04-30,38.7200
2025-03-31,44.9489
2025-02-28,43.4354
2025-01-31,41.8316
2024-12-31,40.8865
2024-11-29,45.2204
2024-10-31,41.9353
2024-09-30,41.5613
2024-08-30,42.8588
2024-07-31,43.7650
2024-06-28,42.7977
2024-05-31,43.4202
2024-04-30,43.5693
2024-03-28,43.9840
2024-02-29,39.8105
2024-01-31,38.5488
2023-12-29,38.7476
2023-11-30,38.7206
2023-10-31,38.9999
2023-09-29,41.3804
2023-08-31,40.4119
2023-07-31,39.7575
2023-06-30,36.8897
2023-05-31,34.4975
2023-04-28,38.3441
2023-03-31,37.3081
2023-02-28,37.3135
2023-01-31,40.0956
2022-12-30,38.9988
2022-11-30,40.2254
2022-10-31,39.7179
2022-09-30,31.7831
2022-08-31,35.1424
2022-07-29,34.2344
2022-06-30,31.2178
2022-05-31,37.6657
2022-04-29,32.4607
2022-03-31,33.0180
2022-02-28,30.2090
2022-01-31,28.2145
2021-12-31,23.7546
2021-11-30,23.0627
2021-10-29,24.2795
2021-09-30,22.0066
2021-08-31,20.1946
2021-07-30,20.6077
2021-06-30,22.4769
2021-05-28,21.5727
2021-04-30,20.4075
2021-03-31,20.2712
2021-02-26,19.6843
2021-01-29,16.0745
2020-12-31,15.4940
2020-11-30,14.8257
2020-10-30,11.5831
2020-09-30,12.0792
2020-08-31,14.1377
2020-07-31,14.2884
2020-06-30,15.0101
2020-05-29,15.1773
2020-04-30,14.8797
2020-03-31,11.3790
2020-02-28,17.3109
2020-01-31,20.4350
2019-12-31,22.9588
2019-11-29,21.6539
2019-10-31,21.3119
2019-09-30,21.7678
2019-08-30,20.9439
2019-07-31,22.8459
2019-06-28,23.2139
2019-05-31,21.2214
2019-04-30,23.8718
2019-03-29,23.8754
2019-02-28,23.3780
2019-01-31,22.8513
2018-12-31,20.5476
2018-11-30,23.4645
2018-10-31,23.8372
2018-09-28,26.8825
2018-08-31,26.2417
2018-07-31,27.1865
2018-06-29,26.7705
2018-05-31,26.6149
