date,adj_close
2026-09-11,764.2900
2026-08-31,767.0500
2026-07-31,747.0300
2026-06-30,746.7700
2026-05-29,754.5566
2026-04-30,716.8327
2026-03-31,648.6864
2026-02-27,682.3552
2026-01-30,688.3035
2025-12-31,678.3067
2025-11-28,677.7838
2025-10-31,676.4647
2025-09-30,660.7150
2025-08-29,637.9981
2025-07-31,625.1699
2025-06-30,611.0955
2025-05-30,581.2242
2025-04-30,546.8570
2025-03-31,551.6398
2025-02-28,584.1915
2025-01-31,591.7031
2024-12-31,576.2277
2024-11-29,590.4576
2024-10-31,557.2281
2024-09-30,562.2454
2024-08-30,550.6761
2024-07-31,538.1030
2024-06-28,531.6650
2024-05-31,513.5448
2024-04-30,488.8204
2024-03-28,509.3575
2024-02-29,493.2175
2024-01-31,468.7547
2023-12-29,461.4061
2023-11-30,441.2572
2023-10-31,404.3246
2023-09-29,413.2967
2023-08-31,433.8587
2023-07-31,441.0263
2023-06-30,427.0476
2023-05-31,401.0537
2023-04-28,399.2108
2023-03-31,392.9337
2023-02-28,378.8683
2023-01-31,388.6397
2022-12-30,365.6453
2022-11-30,387.9837
2022-10-31,367.5510
2022-09-30,339.9235
2022-08-31,374.5369
2022-07-29,390.4688
2022-06-30,357.5435
2022-05-31,389.6801
2022-04-29,388.8025
2022-03-31,426.2106
2022-02-28,410.7834
2022-01-31,423.2773
2021-12-31,446.8444
2021-11-30,427.0731
2021-10-29,430.5323
2021-09-30,402.3052
2021-08-31,421.9580
2021-07-30,409.7635
2021-06-30,399.9985
2021-05-28,391.2070
2021-04-30,388.6551
2021-03-31,369.1246
2021-02-26,353.0924
2021-01-29,343.5401
2020-12-31,347.0769
2020-11-30,334.6720
2020-10-30,301.8389
2020-09-30,309.5573
2020-08-31,321.5840
2020-07-31,300.6029
2020-06-30,283.8843
2020-05-29,278.9303
2020-04-30,266.2449
2020-03-31,236.2456
2020-02-28,269.8848
2020-01-31,293.0872
2019-12-31,293.2057
2019-11-29,284.9331
2019-10-31,274.9793
2019-09-30,269.0324
2019-08-30,263.8921
2019-07-31,268.3858
2019-06-28,264.3884
2019-05-31,247.1861
2019-04-30,264.0231
2019-03-29,253.6605
2019-02-28,249.1560
2019-01-31,241.3330
2018-12-31,223.4429
2018-11-30,244.9861
2018-10-31,240.5245
2018-09-28,258.3797
2018-08-31,256.8518
2018-07-31,248.9068
2018-06-29,240.0150
2018-05-31,238.6416
2018-04-30,232.9781
2018-03-29,231.7802
2018-02-28,238.3137
2018-01-31,247.3059
2017-12-29,234.1115
2017-11-30,231.3157
2017-10-31,224.4550
2017-09-29,219.2877
2017-08-31,214.9583
2017-07-31,214.3329
2017-06-30,210.0162
2017-05-31,208.6860
2017-04-28,205.7818
2017-03-31,203.7592
2017-02-28,203.5032
2017-01-31,195.8096
2016-12-30,192.3672
2016-11-30,188.5430
2016-10-31,181.8441
2016-09-30,185.0524
2016-08-31,185.0380
2016-07-29,184.8166
2016-06-30,178.3133
2016-05-31,177.6919
2016-04-29,174.7196
2016-03-31,174.0337
2016-02-29,163.0686
2016-01-29,163.2034
2015-12-31,171.7544
2015-11-30,174.7566
2015-10-30,174.1202
2015-09-30,160.4371
2015-08-31,164.5492
2015-07-31,175.3031
2015-06-30,171.5047
2015-05-29,175.0227
2015-04-30,172.8011
2015-03-31,171.1184
2015-02-27,173.8557
2015-01-30,164.6042
2014-12-31,169.6302
2014-11-28,170.0656
2014-10-31,165.5185
2014-09-30,161.7100
2014-08-29,163.9714
2014-07-31,157.7462
2014-06-30,159.8948
2014-05-30,156.6623
2014-04-30,153.1092
2014-03-31,152.0522
2014-02-28,150.7990
2014-01-31,144.2340
2013-12-31,149.5038
2013-11-29,145.7300
2013-10-31,141.5352
2013-09-30,135.2712
2013-08-30,131.1173
2013-07-31,135.1714
2013-06-28,128.5294
2013-05-31,130.2698
2013-04-30,127.2652
2013-03-28,124.8662
2013-02-28,120.2978
2013-01-31,118.7823
2012-12-31,112.9979
2012-11-30,111.9902
2012-10-31,111.3599
2012-09-28,113.4240
2012-08-31,110.6191
2012-07-31,107.9156
2012-06-29,106.6539
2012-05-31,102.4997
2012-04-30,109.0487
