date,adj_close
2026-09-11,83.3800
2026-08-31,84.9800
2026-07-31,85.0500
2026-06-30,83.0700
2026-05-29,82.3347
2026-04-30,83.7250
2026-03-31,81.4112
2026-02-27,88.8874
2026-01-30,82.4685
2025-12-31,76.7112
2025-11-28,77.7541
2025-10-31,74.7270
2025-09-30,76.7745
2025-08-29,78.5898
2025-07-31,77.6169
2025-06-30,78.7747
2025-05-30,80.0411
2025-04-30,79.0748
2025-03-31,78.9202
2025-02-28,79.8620
2025-01-31,75.9208
2024-12-31,75.5652
2024-11-29,79.3907
2024-10-31,76.4333
2024-09-30,79.1808
2024-08-30,78.2997
2024-07-31,73.8775
2024-06-28,72.6723
2024-05-31,72.8494
2024-04-30,71.1162
2024-03-28,71.9263
2024-02-29,69.6177
2024-01-31,68.1870
2023-12-29,67.3548
2023-11-30,65.5812
2023-10-31,62.9825
2023-09-29,63.8642
2023-08-31,67.0753
2023-07-31,69.8317
2023-06-30,68.3752
2023-05-31,66.5168
2023-04-28,70.8830
2023-03-31,68.3841
2023-02-28,65.6202
2023-01-31,67.1780
2022-12-30,67.9159
2022-11-30,69.8200
2022-10-31,65.7949
2022-09-30,60.3587
2022-08-31,65.7054
2022-07-29,66.9456
2022-06-30,64.8696
2022-05-31,66.4418
2022-04-29,69.2701
2022-03-31,67.7088
2022-02-28,66.5242
2022-01-31,67.4745
2021-12-31,68.4871
2021-11-30,62.0050
2021-10-29,62.8518
2021-09-30,60.7259
2021-08-31,63.3440
2021-07-30,62.6866
2021-06-30,61.3366
2021-05-28,61.6772
2021-04-30,60.6058
2021-03-31,59.4996
2021-02-26,54.8424
2021-01-29,55.5269
2020-12-31,58.4379
2020-11-30,57.4832
2020-10-30,53.4883
2020-09-30,55.0691
2020-08-31,56.0049
2020-07-31,53.5454
2020-06-30,50.0782
2020-05-29,50.1900
2020-04-30,49.3680
2020-03-31,46.1565
2020-02-28,48.8506
2020-01-31,53.2226
2019-12-31,53.0541
2019-11-29,51.8074
2019-10-31,51.1055
2019-09-30,51.3227
2019-08-30,50.4386
2019-07-31,49.3671
2019-06-28,48.2373
2019-05-31,45.8437
2019-04-30,47.5749
2019-03-29,46.2559
2019-02-28,44.5543
2019-01-31,43.7754
2018-12-31,41.6354
2018-11-30,45.7059
2018-10-31,44.6904
2018-09-28,43.8130
2018-08-31,43.3848
2018-07-31,43.2154
2018-06-29,41.5697
2018-05-31,39.7574
2018-04-30,40.3898
2018-03-29,42.1351
2018-02-28,42.5212
2018-01-31,46.0321
2017-12-29,45.2917
2017-11-30,44.2977
2017-10-31,41.9583
2017-09-29,42.6617
2017-08-31,42.9694
2017-07-31,43.4485
2017-06-30,43.1500
2017-05-31,44.1414
2017-04-28,43.0035
2017-03-31,42.5360
2017-02-28,42.7160
2017-01-31,40.7701
2016-12-30,40.0879
2016-11-30,38.9234
2016-10-31,40.6317
2016-09-30,40.9473
2016-08-31,41.5891
2016-07-29,41.8338
2016-06-30,42.1780
2016-05-31,40.0315
2016-04-29,39.7579
2016-03-31,40.3356
2016-02-29,38.5106
2016-01-29,38.3896
2015-12-31,38.1854
2015-11-30,37.0981
2015-10-30,37.4434
2015-09-30,35.4353
2015-08-31,35.2841
2015-07-31,37.5215
2015-06-30,35.5004
2015-05-29,36.1637
2015-04-30,35.8524
2015-03-31,36.1266
2015-02-27,36.8454
2015-01-30,35.3793
2014-12-31,35.7256
2014-11-28,36.0625
2014-10-31,34.1679
2014-09-30,32.9976
2014-08-29,32.8053
2014-07-31,31.3587
2014-06-30,32.4346
2014-05-30,32.5162
2014-04-30,31.9386
2014-03-31,31.0867
2014-02-28,30.4193
2014-01-31,29.2772
2013-12-31,30.8718
2013-11-29,30.6612
2013-10-31,30.1871
2013-09-30,28.3728
2013-08-30,27.9881
2013-07-31,29.3198
2013-06-28,28.1014
2013-05-31,28.1891
2013-04-30,28.8155
2013-03-28,27.9920
2013-02-28,26.6772
2013-01-31,25.8227
2012-12-31,24.4430
2012-11-30,24.9592
2012-10-31,24.5090
2012-09-28,24.8103
2012-08-31,24.3846
2012-07-31,24.5015
2012-06-29,23.9101
2012-05-31,23.0711
2012-04-30,23.3443
2012-03-30,23.2760
2012-02-29,22.5757
2012-01-31,21.7605
2011-12-30,22.0730
2011-11-30,21.4775
2011-10-31,20.8985
2011-09-30,19.9693
2011-08-31,20.6506
2011-07-29,20.6105
2011-06-30,20.8779
2011-05-31,21.4505
2011-04-29,20.9260
2011-03-31,19.8638
2011-02-28,19.6202
2011-01-31,19.0656
2010-12-31,19.3495
2010-11-30,18.5346
2010-10-29,18.8291
2010-09-30,18.2466
2010-08-31,17.2071
2010-07-30,17.5320
2010-06-30,16.5702
2010-05-28,17.0001
2010-04-30,17.8259
2010-03-31,18.0194
2010-02-26,17.3648
2010-01-29,16.8316
2009-12-31,17.0051
2009-11-30,17.0926
2009-10-30,16.4862
2009-09-30,16.2501
2009-08-31,15.7309
2009-07-31,15.5408
2009-06-30,14.5711
2009-05-29,14.5410
2009-04-30,13.8366
2009-03-31,13.2706
2009-02-27,12.7292
2009-01-30,13.8483
2008-12-31,14.9236
2008-11-28,14.9202
2008-10-31,14.9760
2008-09-30,17.0773
2008-08-29,17.3011
2008-07-31,16.8701
