strategy,bars,years,start,end,total_return_%,cagr_%,vol_%,max_dd_%,ruined,hit_rate_%,best_bar_%,worst_bar_%,sharpe,sortino,calmar,skew,kurtosis
XS long/short (13),309,25.75,2001-01-31,2026-09-30,-99.777889,-21.122317,46.829536,-99.830899,False,51.132686,51.595605,-82.387281,-0.170244,-0.148496,-0.211581,-1.418521,8.534936
"XS long/short (13, RP)",309,25.75,2001-01-31,2026-09-30,-83.069851,-6.664883,33.6529,-89.720279,False,51.779935,36.549584,-84.969684,0.041099,0.037568,-0.074285,-1.977998,19.058764
XS long-only (13),309,25.75,2001-01-31,2026-09-30,237.717011,4.839835,30.289104,-76.159295,False,56.31068,51.713098,-34.47119,0.306722,0.311716,0.063549,0.43789,5.961739
"XS long-only (13, RP)",309,25.75,2001-01-31,2026-09-30,543.851595,7.500171,26.964307,-74.52164,False,58.576052,42.879111,-34.229056,0.404468,0.395002,0.100644,0.087041,4.8878
TS long/flat (13),309,25.75,2001-01-31,2026-09-30,487.631426,7.119406,10.425005,-26.41055,False,61.488673,14.349272,-10.339296,0.713444,0.677644,0.269567,-0.104172,2.170081
Equal-weight (13),309,25.75,2001-01-31,2026-09-30,1031.082574,9.878419,14.57048,-45.311834,False,64.401294,17.794829,-19.684711,0.722477,0.659481,0.21801,-0.508403,3.479372
XS long/short (orig 7),309,25.75,2001-01-31,2026-09-30,32.545367,1.100202,16.084718,-39.499639,False,54.045307,13.212939,-19.348277,0.149472,0.141424,0.027853,-0.424019,1.572736
"XS long/short (orig 7, RP)",309,25.75,2001-01-31,2026-09-30,-11.705951,-0.482318,13.500163,-41.358161,False,53.721683,11.266813,-17.843861,0.032445,0.03006,-0.011662,-0.442759,1.682261
SPY buy & hold,309,25.75,2001-01-31,2026-09-30,820.690449,9.003717,15.045833,-50.797586,False,64.724919,12.698353,-16.518672,0.650765,0.578629,0.177247,-0.509668,0.913639
