date,XS long/short (13),"XS long/short (13, RP)",XS long-only (13),"XS long-only (13, RP)",TS long/flat (13),Equal-weight (13),XS long/short (orig 7),"XS long/short (orig 7, RP)",SPY buy & hold
2001-01-31,-0.28893904424177064,-0.2648153823739282,-0.1340557508840492,-0.09651912385515153,-0.03131079451495925,0.006699976198759974,-0.19348277191625363,-0.17843861295701569,0.044459462226864144
2001-02-28,0.066036153660754,0.06999660733706521,-0.08438369227967996,-0.07548256712671085,-0.01696153412052004,-0.05521154427854887,0.10248890639939756,0.05427615930187576,-0.0953884161405435
2001-03-31,0.08486339922849423,0.056121788329216146,-0.005427086859362662,-0.020524378026261277,-0.02259057837681242,-0.0364983775774777,0.034695267703521215,-0.006045349269533521,-0.05598925960916912
2001-04-30,-0.17379997858328422,-0.12087550784157824,-0.04923627905673322,-0.0014950700266683236,0.021009565458922266,0.04649569088640259,-0.0957713636965859,-0.06151161343231461,0.08543992220579
2001-05-31,-0.07508415917752587,9.881382208812967e-05,-0.09836579359227232,-0.01618169720514032,-0.014091197103850579,-0.0068709670956009095,0.052625242460615784,0.046197533232493246,-0.005605492760764164
2001-06-30,-0.025570783273536624,-0.026989576290562794,-0.02771104688352355,-0.02973380526058005,-0.03411688322091746,-0.04500959094138821,-0.024570783273536623,-0.025971681255843523,-0.023829693519910156
2001-07-31,-0.04663215864989684,-0.016063489801425825,-0.01151621712537415,-0.01153208160989445,0.002899673740555946,-0.0014223113676725867,0.02819425159486738,0.010001469510667922,-0.010195775815988961
2001-08-31,0.15841678152008626,-0.041563719838451314,-0.07783291947695148,-0.07772211051969465,-0.012941354211818374,-0.05496871968929744,0.012856474865107492,-0.03376036807980789,-0.059332558895480614
2001-09-30,0.10815535502071028,0.008396870969054341,-0.06470595764968656,-0.05745080198983178,-0.016972476235642242,-0.0895126025101794,0.05797443011352771,0.01658354277531009,-0.0815933740662319
2001-10-31,-0.385176244768726,-0.10162390534408679,0.02314800840278014,0.016392890539259845,0.004117819709596389,0.05168811877841634,-0.037909562911750794,-0.014282945960610034,0.013022191841605135
2001-11-30,0.21592450398208574,0.12158038089677048,0.08867205814083823,0.07528925808875565,-0.00018181818181818183,0.0037676271477414995,-0.025018231315418804,0.01604855474354864,0.07797667580673551
2001-12-31,-0.15522372514729627,-0.03918603394458957,0.012877616134372827,0.0017818075524302,0.004038182137030544,0.03823236722483317,0.021068906159182443,0.004003550524996326,0.00561722175396806
2002-01-31,0.04198776622059086,0.026297018018029198,0.011725241170490619,0.010304236452614161,0.0029881119402479306,-0.007833312258783219,0.033929810764672386,0.03633966329405926,-0.009799799608499415
2002-02-28,0.030029640187441975,0.04896099871355056,0.012211285299436714,0.014874194678589109,0.0004921498005563004,0.020076493996442995,0.0850498987020803,0.055811886277575544,-0.01793525387138173
2002-03-31,-0.20286724405579715,-0.07126140346736468,0.03838577905593343,0.045126677545008785,0.0011544037443472867,0.08121612664752031,-0.031304803895750966,-0.0037994241975483995,0.03324222988670322
2002-04-30,-0.12864118904554844,-0.08425217034892908,-0.03356669397789225,-0.03620914042983071,-0.006655952602780049,-0.005271086357663808,0.04488138116726487,-0.009408886981152813,-0.05815574316154437
2002-05-31,0.08009431811429485,0.010123838389332944,-0.00813583293942055,-0.009476880231928794,-0.0005780668940176157,-0.029898125823174682,0.021399618121814623,0.0055760178620132,-0.005932907514150654
2002-06-30,0.006870989065496603,-0.06693015012711809,-0.0772428041012625,-0.0879526945952044,-0.005060310047425979,-0.026630315964585097,0.007870989065496603,-0.06607405555883296,-0.07375290035827309
2002-07-31,-0.0030113898014778023,0.02647785253036783,-0.08882707003288837,-0.10915024640489933,-0.022749492156496572,-0.04878510662174434,0.004768473102739535,-0.007801007991446227,-0.07882026529304587
2002-08-31,-0.010019438282412694,-0.05063755204720064,-0.010817284711549855,-0.042601431723227653,0.004321290405046242,0.012892670083986016,0.019727546078668334,0.015391009525008598,0.006801008841821776
2002-09-30,0.2712381172096057,0.1320965934065906,0.15310562160352198,0.03237412483173942,0.0329210145784293,-0.0200812125437226,0.04257067244968121,0.02034683923118449,-0.10485135135135137
2002-10-31,-0.17045662777897824,-0.1878554220641925,-0.026159604535196113,-0.0775440336828047,-0.003099994108416741,0.034433619802992345,-0.08139738648145922,-0.03899478626860774,0.08228287616430907
2002-11-30,-0.11330289728670878,-0.10222897963982668,-0.002194686525851363,-0.00253289759530808,0.004162312851050853,0.028007461552508644,-0.07251257237690167,-0.03819713260064948,0.06168095241416349
2002-12-31,0.22191552697769035,0.20926596935109706,0.1274919079133775,0.13750267707227126,0.036097657481955925,0.005504538813269502,0.03299262966100702,-0.0095106975007637,-0.05663581362044834
2003-01-31,0.17255789530809562,0.13351511328102975,0.14469030162529606,0.1305377808050183,0.03364828251163179,0.016667270124953625,0.01880680173071614,0.01802037812559275,-0.024595158263436945
2003-02-28,0.5159560488017422,0.36549584453728656,0.5171309799995508,0.42879110716286384,0.10268392901290363,0.08176957361902276,0.0013701686836032918,-0.0012062180822440044,-0.013478638000763876
