date,Trend long/flat,Trend long/short,Equal-weight (13),SPY
2002-01-31,0.014938338178810823,0.006457688295550223,-0.007833312258783219,-0.009799799608499415
2002-02-28,0.01172053115721687,-0.025245580482870157,0.020076493996442995,-0.01793525387138173
2002-03-31,0.03391834379315603,-0.030049713023857557,0.08121612664752031,0.03324222988670322
2002-04-30,-0.01986424225728144,-0.013071676583383277,-0.005271086357663808,-0.05815574316154437
2002-05-31,-0.012623138621987042,-0.003763612309473308,-0.029898125823174682,-0.005932907514150654
2002-06-30,-0.024138940109894976,0.03798715507446403,-0.026630315964585097,-0.07375290035827309
2002-07-31,-0.02918266337608075,0.037391697154353774,-0.04878510662174434,-0.07882026529304587
2002-08-31,-0.01695468899150431,-0.009563358525325711,0.012892670083986016,0.006801008841821776
2002-09-30,0.10952061406696148,0.06112906300589643,-0.0200812125437226,-0.10485135135135137
2002-10-31,-0.09476320228999141,-0.05441218195266951,0.034433619802992345,0.08228287616430907
2002-11-30,0.004455048753452417,-0.01595743521659339,0.028007461552508644,0.06168095241416349
2002-12-31,0.038762522498156336,0.02136845882603128,0.005504538813269502,-0.05663581362044834
2003-01-31,0.05717652559689277,0.033480169088554,0.016667270124953625,-0.024595158263436945
2003-02-28,0.09570539182731097,0.041750349474986445,0.08176957361902276,-0.013478638000763876
2003-03-31,-0.04716407845847055,-0.025393861814954247,-0.06479453042768266,0.0020588267220511547
2003-04-30,-0.010874854979995548,-0.02290693388562515,0.01223821391197728,0.08461219036614431
2003-05-31,0.02256866849040361,-0.013550760871808301,0.06621831117816031,0.054836910835712294
2003-06-30,0.006098414231456226,0.008298680087608607,0.006991110838532006,0.010661398038151138
2003-07-31,0.0007271794643108577,0.0008210644810465065,-0.003511505341748062,0.0180281179931423
2003-08-31,0.007449177514447999,0.01136213656901836,0.02501875866568165,0.02062608322213544
2003-09-30,-0.003264986957348752,-0.0048449598491053375,-0.019926215160602802,-0.010887565783739506
2003-10-31,0.021188236179027847,0.03537121060633261,0.021001435824778036,0.05352685306589411
2003-11-30,0.00872686180552952,0.01254154585394052,0.03342987511993693,0.01092116800110765
2003-12-31,0.02174605919514001,0.04008500741260785,0.057678906586131395,0.05032403847662681
2004-01-31,0.011565810704401077,0.020585523868305106,0.018513892429530967,0.019769813955131
2004-02-29,0.016283592172801745,0.029270082606249047,0.031315508713185704,0.013570315517493992
2004-03-31,-0.004279977994935219,-0.006103581881133809,0.001688306610591283,-0.013198093608701056
2004-04-30,0.00047164115545650224,0.0006047075671260009,0.007035972109742972,-0.018920736376044522
2004-05-31,0.010131126154633768,0.007814426641154193,0.017682883832127433,0.017123482896876263
2004-06-30,-0.014897099814572781,-0.015247668477668147,-0.010735197137259645,0.018492571212012088
2004-07-31,-0.0005204267967311456,-0.0005294205813166395,0.01964988547908393,-0.03221922331114713
2004-08-31,-0.038672959053296485,-0.035857420588016296,-0.017033100341149927,0.0024355275645129293
2004-09-30,0.1029381436001949,0.053258595572576346,0.05912400183220876,0.010018259216042269
2004-10-31,0.01369616942616782,0.0031016053895966773,0.014884326873428968,0.012884661155875499
2004-11-30,0.029302121996931635,0.033359896332696044,0.018795407820989547,0.044509453440386704
2004-12-31,0.007692013358699904,0.006967816291811169,-0.008190852042753768,0.030152246283577933
2005-01-31,-0.011940417381006353,-0.017755532299905757,0.008865193376964984,-0.022420022697297814
2005-02-28,0.026246917388213546,0.03913303359311911,0.03914432422163281,0.02090358822340832
2005-03-31,-0.0026239601941948276,-0.0029236863902220135,0.0136074464894447,-0.018281236746379936
2005-04-30,-0.027305371131907875,-0.03516474800615988,-0.03167740280144805,-0.018734362986578712
2005-05-31,-0.0014513493493896641,-0.027393506998940945,0.015085058345546638,0.03222459722443771
2005-06-30,0.010624148707392105,0.006059185883429199,0.03475874295911091,0.0014971373892445072
2005-07-31,0.03397546067512516,0.028931314028384923,0.04414215258414223,0.0382612753182372
2005-08-31,0.020744784776182947,0.029671171990110677,0.06992196545247814,-0.009374817943056724
2005-09-30,0.005515123060813058,0.006101462049230609,0.010395476987743728,0.007993298111613312
2005-10-31,-0.022849064293457292,-0.02320554535385874,-0.03363137202127432,-0.02365161729720977
2005-11-30,0.04353179585197117,0.03687237885405401,0.00908314032532586,0.0439527606299559
2005-12-31,0.010815850651272229,0.0082509569166345,0.004229179163105332,-0.001899455045646481
2006-01-31,0.026412892045476054,0.029399145515547186,0.030217256814745568,0.024014260149413325
2006-02-28,0.0014949184506135634,0.0011443699533600336,-0.028476366921789575,0.0057261920137337
2006-03-31,0.01724025070298427,0.01895600015330401,0.026434976063984962,0.016503454224563674
2006-04-30,0.05346977810402624,0.05983635290299009,0.03553924611943588,0.012632216792497042
2006-05-31,-0.02111551788538533,-0.01978106495588711,-0.008272298950903628,-0.030120628247280234
2006-06-30,0.011556025517394783,0.010731563016751874,0.002198192298591818,0.0026443522646035778
2006-07-31,0.026069408844124235,-0.010521298453787874,0.042143220252102556,0.004477752586004247
2006-08-31,0.016038540527379616,-0.00972278825510308,-0.022632107566475518,0.0218221562645875
